topicId,rank,docId,filename
1,1,34,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/129-m.txt
1,2,159,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/54-m.txt
1,3,193,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/85-m.txt
1,4,126,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/24-m.txt
1,5,134,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/31-m.txt
1,6,181,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/74-m.txt
1,7,75,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/166-m.txt
1,8,194,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/86-m.txt
1,9,41,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/135-f.txt
1,10,141,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/38-f.txt
1,11,91,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/180-f.txt
1,12,158,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/53-m.txt
1,13,143,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/4-u.txt
1,14,121,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/207-f.txt
1,15,74,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/165-f.txt
1,16,21,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/117-m.txt
1,17,63,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/155-u.txt
1,18,13,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/11-f.txt
1,19,62,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/154-f.txt
1,20,198,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/9-m.txt
1,21,182,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/75-m.txt
1,22,131,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/29-m.txt
1,23,156,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/51-m.txt
1,24,98,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/187-f.txt
1,25,58,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/150-f.txt
1,26,177,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/70-m.txt
1,27,3,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/100-m.txt
1,28,175,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/69-f.txt
1,29,167,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/61-f.txt
1,30,201,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/92-f.txt
1,31,157,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/52-f.txt
1,32,150,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/46-m.txt
1,33,138,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/35-f.txt
1,34,38,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/132-f.txt
1,35,23,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/119-m.txt
1,36,2,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/10-m.txt
1,37,206,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/97-m.txt
1,38,183,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/76-m.txt
1,39,170,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/64-f.txt
1,40,139,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/36-f.txt
1,41,94,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/183-f.txt
1,42,151,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/47-m.txt
1,43,85,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/175-f.txt
1,44,70,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/161-f.txt
1,45,68,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/16-f.txt
1,46,171,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/65-f.txt
1,47,166,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/60-f.txt
1,48,130,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/28-m.txt
1,49,81,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/171-f.txt
1,50,16,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/112-f.txt
1,51,1,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/1-m.txt
1,52,111,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/199-f.txt
1,53,99,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/188-u.txt
1,54,44,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/138-f.txt
1,55,43,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/137-f.txt
1,56,208,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/99-m.txt
1,57,186,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/79-m.txt
1,58,178,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/71-m.txt
1,59,140,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/37-f.txt
1,60,96,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/185-f.txt
1,61,95,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/184-f.txt
1,62,12,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/109-m.txt
1,63,185,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/78-f.txt
1,64,163,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/58-m.txt
1,65,145,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/41-f.txt
1,66,83,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/173-f.txt
1,67,52,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/145-f.txt
1,68,204,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/95-m.txt
1,69,202,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/93-u.txt
1,70,197,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/89-m.txt
1,71,188,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/80-f.txt
1,72,161,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/56-m.txt
1,73,136,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/33-m.txt
1,74,120,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/206-f.txt
1,75,56,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/149-f.txt
1,76,48,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/141-f.txt
1,77,27,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/122-m.txt
1,78,200,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/91-m.txt
1,79,199,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/90-m.txt
1,80,105,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/193-m.txt
1,81,89,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/179-f.txt
1,82,84,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/174-f.txt
1,83,79,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/17-u.txt
1,84,66,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/158-u.txt
1,85,53,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/146-m.txt
1,86,49,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/142-f.txt
1,87,32,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/127-f.txt
