docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,
105,193-m.txt,28,0.262,9,0.101,82,0.06,92,0.056,,,,,,
113,20-m.txt,28,0.4,99,0.067,94,0.05,82,0.05,,,,,,
122,208-f.txt,27,0.191,20,0.069,8,0.069,59,0.053,,,,,,
188,80-f.txt,27,0.338,10,0.066,,,,,,,,,,
83,173-f.txt,26,0.13,60,0.117,21,0.078,42,0.052,2,0.052,,,,
96,185-f.txt,26,0.342,31,0.132,79,0.053,21,0.053,,,,,,
98,187-f.txt,25,0.323,66,0.115,,,,,,,,,,
30,125-f-WOLFENBACH.txt,24,0.193,94,0.105,82,0.088,64,0.083,,,,,,
76,167-m.txt,24,0.258,23,0.103,20,0.062,,,,,,,,
44,138-f.txt,23,0.153,26,0.122,94,0.066,45,0.051,,,,,,
117,203-f.txt,23,0.368,71,0.06,,,,,,,,,,
140,37-f.txt,23,0.257,94,0.107,61,0.079,17,0.079,99,0.057,,,,
163,58-m.txt,23,0.165,50,0.119,99,0.082,20,0.067,,,,,,
41,135-f.txt,22,0.367,85,0.065,,,,,,,,,,
154,5-u.txt,22,0.262,38,0.094,92,0.068,49,0.052,,,,,,
47,140-f.txt,21,0.257,54,0.132,76,0.053,29,0.053,,,,,,
67,159-f.txt,20,0.165,95,0.083,59,0.055,,,,,,,,
200,91-m.txt,20,0.242,91,0.066,90,0.055,33,0.055,,,,,,
60,152-f.txt,19,0.392,20,0.061,39,0.057,,,,,,,,
28,123-m.txt,18,0.103,70,0.082,92,0.068,16,0.062,23,0.055,,,,
147,43-m.txt,18,0.227,95,0.085,14,0.058,24,0.051,,,,,,
58,150-f.txt,17,0.308,92,0.1,21,0.075,,,,,,,,
57,15-f.txt,16,0.247,71,0.074,23,0.074,,,,,,,,
80,170-f.txt,16,0.258,59,0.068,82,0.063,46,0.059,,,,,,
172,66-m.txt,16,0.266,43,0.082,,,,,,,,,,
18,114-f.txt,15,0.33,33,0.125,96,0.054,,,,,,,,
43,137-f.txt,15,0.322,26,0.096,21,0.065,,,,,,,,
167,61-f.txt,15,0.17,72,0.081,99,0.059,59,0.059,67,0.052,,,,
65,157-f.txt,14,0.1,99,0.08,75,0.08,48,0.06,,,,,,
87,177-m.txt,14,0.296,94,0.051,,,,,,,,,,
102,190-m.txt,13,0.286,82,0.07,85,0.065,94,0.059,,,,,,
168,62-f.txt,13,0.341,96,0.1,31,0.05,21,0.05,,,,,,
7,104-m.txt,12,0.257,4,0.109,,,,,,,,,,
109,197-f.txt,12,0.134,66,0.098,73,0.073,30,0.073,75,0.061,33,0.061,,
145,41-f.txt,12,0.185,81,0.071,99,0.065,,,,,,,,
170,64-f.txt,12,0.382,33,0.058,,,,,,,,,,
2,10-m.txt,11,0.27,62,0.074,72,0.07,15,0.066,,,,,,
178,71-m.txt,11,0.322,8,0.065,,,,,,,,,,
71,162-f.txt,10,0.377,,,,,,,,,,,,
66,158-u.txt,9,0.185,59,0.171,85,0.082,,,,,,,,
104,192-m.txt,9,0.398,45,0.088,92,0.072,,,,,,,,
19,115-f.txt,8,0.205,12,0.123,48,0.09,33,0.066,,,,,,
27,122-m.txt,8,0.12,24,0.08,31,0.063,85,0.057,71,0.051,22,0.051,,
51,144-f.txt,8,0.256,19,0.09,92,0.052,85,0.052,75,0.052,65,0.052,,
77,168-m.txt,8,0.165,70,0.15,82,0.102,86,0.079,,,,,,
185,78-f.txt,8,0.14,42,0.108,54,0.102,45,0.051,,,,,,
95,184-f.txt,7,0.363,,,,,,,,,,,,
196,88-m.txt,7,0.147,78,0.103,9,0.103,48,0.066,,,,,,
42,136-f.txt,6,0.201,52,0.085,67,0.063,29,0.063,,,,,,
73,164-f.txt,6,0.079,66,0.063,65,0.063,,,,,,,,
130,28-m.txt,6,0.14,62,0.132,13,0.092,30,0.068,34,0.056,,,,
191,83-f.txt,6,0.163,83,0.08,71,0.058,,,,,,,,
23,119-m.txt,5,0.346,90,0.072,85,0.057,92,0.055,,,,,,
6,103-m.txt,4,0.203,39,0.085,61,0.056,,,,,,,,
70,161-f.txt,4,0.324,39,0.058,,,,,,,,,,
123,21-m.txt,4,0.143,67,0.095,75,0.079,48,0.079,81,0.063,29,0.063,20,0.063
132,3-m.txt,3,0.426,61,0.063,,,,,,,,,,
91,180-f.txt,2,0.243,44,0.119,11,0.068,87,0.056,68,0.056,,,,
181,74-m.txt,2,0.3,85,0.077,91,0.069,,,,,,,,
182,75-m.txt,2,0.309,,,,,,,,,,,,
134,31-m.txt,1,0.376,,,,,,,,,,,,
158,53-m.txt,1,0.333,43,0.078,69,0.057,,,,,,,,
208,99-m.txt,1,0.143,72,0.068,43,0.062,,,,,,,,
