topicId,rank,docId,filename
1,68,120,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/206-f.txt
1,69,90,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/18-u.txt
1,70,53,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/146-m.txt
1,71,42,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/136-f.txt
1,72,17,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/113-f.txt
1,73,12,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/109-m.txt
1,74,204,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/95-m.txt
1,75,199,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/90-m.txt
1,76,198,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/9-m.txt
1,77,191,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/83-f.txt
1,78,188,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/80-f.txt
1,79,183,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/76-m.txt
1,80,182,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/75-m.txt
1,81,179,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/72-m.txt
1,82,175,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/69-f.txt
1,83,173,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/67-m.txt
1,84,172,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/66-m.txt
1,85,169,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/63-f.txt
1,86,166,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/60-f.txt
1,87,163,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/58-m.txt
1,88,150,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/46-m.txt
1,89,149,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/45-u.txt
1,90,138,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/35-f.txt
1,91,137,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/34-f.txt
