docId,filename,top topics, and contribution to doc ...
65,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/156-f.txt,1,1.000
66,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/157-f.txt,1,1.000
67,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/158-u.txt,1,1.000
68,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/159-f.txt,1,1.000
69,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/16-f.txt,1,1.000
70,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/160-f.txt,1,1.000
71,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/161-f.txt,1,1.000
72,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/162-f.txt,1,1.000
73,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/163-f.txt,1,1.000
74,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/164-f.txt,1,1.000
75,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/165-f.txt,1,1.000
76,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/166-m.txt,1,1.000
77,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/167-m.txt,1,1.000
78,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/168-m.txt,1,1.000
79,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/169-m.txt,1,1.000
80,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/17-u.txt,1,1.000
81,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/170-f.txt,1,1.000
82,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/171-f.txt,1,1.000
83,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/172-f.txt,1,1.000
84,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/173-f.txt,1,1.000
85,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/174-f.txt,1,1.000
86,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/175-f.txt,1,1.000
87,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/176-f.txt,1,1.000
88,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/177-m.txt,1,1.000
89,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/178-f.txt,1,1.000
90,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/179-f.txt,1,1.000
91,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/18-u.txt,1,1.000
92,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/180-f.txt,1,1.000
93,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/181-f.txt,1,1.000
94,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/182-f.txt,1,1.000
95,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/183-f.txt,1,1.000
96,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/184-f.txt,1,1.000
97,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/185-f.txt,1,1.000
98,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/186-f.txt,1,1.000
99,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/187-f.txt,1,1.000
100,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/188-u.txt,1,1.000
101,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/189-f.txt,1,1.000
102,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/19-m.txt,1,1.000
103,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/190-m.txt,1,1.000
104,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/191-m.txt,1,1.000
105,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/192-m.txt,1,1.000
106,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/193-m.txt,1,1.000
107,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/194-m.txt,1,1.000
108,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/195-f.txt,1,1.000
109,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/196-f.txt,1,1.000
110,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/197-f.txt,1,1.000
111,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/198-f.txt,1,1.000
112,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/199-f.txt,1,1.000
113,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/2-f.txt,1,1.000
114,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/20-m.txt,1,1.000
115,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/200-f.txt,1,1.000
116,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/201-f.txt,1,1.000
117,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/202-f.txt,1,1.000
118,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/203-f.txt,1,1.000
119,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/204-m.txt,1,1.000
120,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/205-m.txt,1,1.000
121,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/206-f.txt,1,1.000
122,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/207-f.txt,1,1.000
123,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/208-f.txt,1,1.000
124,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/21-m.txt,1,1.000
125,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/22-m.txt,1,1.000
126,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/23-m.txt,1,1.000
127,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/24-m.txt,1,1.000
128,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/25-m.txt,1,1.000
129,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/26-m.txt,1,1.000
130,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/27-m.txt,1,1.000
131,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/28-m.txt,1,1.000
132,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/29-m.txt,1,1.000
133,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/3-m.txt,1,1.000
134,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/30-m.txt,1,1.000
135,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/31-m.txt,1,1.000
136,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/32-m.txt,1,1.000
